#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AEW84864.1	AEW85519.1	1041826.FCOL_00035	1041826.FCOL_03385	0.060	0	0	0	0.445	0	0	0.087	0.482
AEW84864.1	AEW85394.1	1041826.FCOL_00035	1041826.FCOL_02745	0.054	0	0	0	0.487	0	0	0	0.493
AEW84864.1	AEW85332.1	1041826.FCOL_00035	1041826.FCOL_02425	0.054	0	0	0	0.487	0	0	0	0.493
AEW84864.1	AEW86195.1	1041826.FCOL_00035	1041826.FCOL_06870	0.054	0	0	0	0.487	0	0	0	0.493
AEW84864.1	AEW85010.1	1041826.FCOL_00035	1041826.FCOL_00795	0.054	0	0	0	0.487	0	0	0	0.493
AEW84864.1	AEW86170.1	1041826.FCOL_00035	1041826.FCOL_06745	0.041	0	0	0	0.500	0	0	0.074	0.517
AEW84864.1	AEW86073.1	1041826.FCOL_00035	1041826.FCOL_06260	0	0	0.529	0	0	0	0	0	0.529
AEW84864.1	AEW84866.1	1041826.FCOL_00035	1041826.FCOL_00045	0.709	0	0.763	0	0	0	0	0.052	0.929
AEW84864.1	AEW84865.1	1041826.FCOL_00035	1041826.FCOL_00040	0.796	0	0.774	0	0.051	0	0	0.055	0.953
AEW84865.1	AEW84864.1	1041826.FCOL_00040	1041826.FCOL_00035	0.796	0	0.774	0	0.051	0	0	0.055	0.953
AEW84865.1	AEW86162.1	1041826.FCOL_00040	1041826.FCOL_06705	0.114	0	0	0	0.091	0	0	0.352	0.432
AEW84865.1	AEW86199.1	1041826.FCOL_00040	1041826.FCOL_06890	0.044	0	0.426	0	0.047	0	0	0.045	0.433
AEW84865.1	AEW85789.1	1041826.FCOL_00040	1041826.FCOL_04790	0.048	0	0	0	0.451	0	0	0.071	0.472
AEW84865.1	AEW85663.1	1041826.FCOL_00040	1041826.FCOL_04145	0.048	0	0	0	0.451	0	0	0.071	0.472
AEW84865.1	AEW85743.1	1041826.FCOL_00040	1041826.FCOL_04560	0.042	0	0	0	0.328	0.259	0	0	0.481
AEW84865.1	AEW84897.2	1041826.FCOL_00040	1041826.FCOL_00200	0.042	0	0	0	0.328	0.259	0	0	0.481
AEW84865.1	AEW86073.1	1041826.FCOL_00040	1041826.FCOL_06260	0	0	0.514	0	0	0	0	0	0.514
AEW84865.1	AEW85135.1	1041826.FCOL_00040	1041826.FCOL_01430	0.048	0	0	0	0.250	0.369	0	0.071	0.525
AEW84865.1	AEW84899.1	1041826.FCOL_00040	1041826.FCOL_00210	0.048	0	0	0	0.250	0.369	0	0.071	0.525
AEW84865.1	AEW86735.1	1041826.FCOL_00040	1041826.FCOL_09630	0.125	0	0	0	0.328	0.259	0	0	0.526
AEW84865.1	AEW85026.1	1041826.FCOL_00040	1041826.FCOL_00885	0.165	0	0	0	0.328	0.259	0	0	0.547
AEW84865.1	AEW87183.1	1041826.FCOL_00040	1041826.FCOL_11910	0.042	0	0.166	0	0.328	0.259	0	0	0.548
AEW84865.1	AEW85443.1	1041826.FCOL_00040	1041826.FCOL_02990	0.047	0	0.186	0	0.337	0.259	0	0.169	0.625
AEW84865.1	AEW84866.1	1041826.FCOL_00040	1041826.FCOL_00045	0.771	0	0.770	0	0.328	0.259	0	0	0.970
AEW84866.1	AEW84864.1	1041826.FCOL_00045	1041826.FCOL_00035	0.709	0	0.763	0	0	0	0	0.052	0.929
AEW84866.1	AEW84865.1	1041826.FCOL_00045	1041826.FCOL_00040	0.771	0	0.770	0	0.328	0.259	0	0	0.970
AEW84866.1	AEW86199.1	1041826.FCOL_00045	1041826.FCOL_06890	0.043	0	0	0	0.114	0.362	0	0.042	0.412
AEW84866.1	AEW86736.1	1041826.FCOL_00045	1041826.FCOL_09635	0.043	0	0	0	0.114	0.362	0	0.042	0.412
AEW84866.1	AEW85442.1	1041826.FCOL_00045	1041826.FCOL_02985	0.043	0	0	0	0.114	0.362	0	0.042	0.412
AEW84866.1	AEW86944.1	1041826.FCOL_00045	1041826.FCOL_10705	0	0	0.430	0	0	0	0	0	0.430
AEW84866.1	AEW87182.1	1041826.FCOL_00045	1041826.FCOL_11905	0.091	0	0	0	0.114	0.362	0	0.042	0.441
AEW84866.1	AEW84898.1	1041826.FCOL_00045	1041826.FCOL_00205	0.042	0	0	0	0.328	0.259	0	0	0.481
AEW84866.1	AEW85742.1	1041826.FCOL_00045	1041826.FCOL_04555	0.042	0	0	0	0.328	0.259	0	0	0.481
AEW84866.1	AEW86737.1	1041826.FCOL_00045	1041826.FCOL_09640	0.077	0	0	0	0.056	0.431	0	0.085	0.485
AEW84866.1	AEW85025.1	1041826.FCOL_00045	1041826.FCOL_00880	0.099	0	0	0	0.328	0.259	0	0	0.512
AEW84866.1	AEX99660.1	1041826.FCOL_00045	1041826.FCOL_06062	0	0	0.578	0	0	0	0	0	0.578
AEW84866.1	AEW86073.1	1041826.FCOL_00045	1041826.FCOL_06260	0	0	0.748	0	0	0	0	0	0.748
AEW84869.1	polA	1041826.FCOL_00060	1041826.FCOL_03225	0	0	0	0	0.064	0	0	0.388	0.402
AEW84869.1	dinB	1041826.FCOL_00060	1041826.FCOL_13335	0	0	0.297	0	0.056	0	0	0.193	0.417
AEW84869.1	AEW86826.1	1041826.FCOL_00060	1041826.FCOL_10085	0.111	0	0	0	0	0	0	0.373	0.418
AEW84869.1	msrA	1041826.FCOL_00060	1041826.FCOL_00760	0.179	0	0	0	0	0	0	0.336	0.431
AEW84869.1	AEW86810.1	1041826.FCOL_00060	1041826.FCOL_10005	0	0	0.462	0	0.051	0	0	0	0.467
AEW84869.1	AEW86382.1	1041826.FCOL_00060	1041826.FCOL_07825	0	0	0	0	0	0.401	0	0.276	0.547
AEW84869.1	AEW87467.1	1041826.FCOL_00060	1041826.FCOL_13360	0	0	0	0	0	0.381	0.698	0.276	0.852
AEW84871.1	AEW87376.1	1041826.FCOL_00070	1041826.FCOL_12905	0	0	0.407	0	0	0	0	0	0.407
AEW84871.1	clpX	1041826.FCOL_00070	1041826.FCOL_04460	0.078	0	0.226	0	0.081	0	0	0.205	0.408
AEW84871.1	rnr	1041826.FCOL_00070	1041826.FCOL_08745	0	0	0	0	0	0.216	0	0.276	0.408
AEW84871.1	AEW87250.1	1041826.FCOL_00070	1041826.FCOL_12245	0.045	0	0.183	0	0.306	0	0	0	0.411
AEW84871.1	AEW86074.1	1041826.FCOL_00070	1041826.FCOL_06265	0.125	0	0	0	0.051	0	0	0.362	0.423
AEW84871.1	ffh	1041826.FCOL_00070	1041826.FCOL_06000	0	0	0.223	0	0.122	0	0	0.230	0.428
AEW84871.1	ftsZ	1041826.FCOL_00070	1041826.FCOL_03815	0	0	0	0	0.292	0	0	0.229	0.430
AEW84871.1	topA	1041826.FCOL_00070	1041826.FCOL_11640	0.143	0	0	0	0.053	0	0	0.370	0.444
AEW84871.1	metG	1041826.FCOL_00070	1041826.FCOL_08345	0.288	0	0	0	0.154	0	0	0.156	0.447
AEW84871.1	AEW86162.1	1041826.FCOL_00070	1041826.FCOL_06705	0.179	0	0	0	0	0	0	0.362	0.453
AEW84871.1	rpsA	1041826.FCOL_00070	1041826.FCOL_00325	0	0	0.313	0	0.074	0	0	0.231	0.468
AEW84871.1	AEW85088.1	1041826.FCOL_00070	1041826.FCOL_01195	0.061	0	0.175	0	0	0.165	0	0.276	0.469
AEW84871.1	AEW87193.1	1041826.FCOL_00070	1041826.FCOL_11960	0	0	0	0	0	0.452	0	0.113	0.493
AEW84871.1	AEW86166.1	1041826.FCOL_00070	1041826.FCOL_06725	0	0	0	0	0	0.452	0	0.113	0.493
AEW84871.1	AEW86383.1	1041826.FCOL_00070	1041826.FCOL_07830	0	0	0	0	0	0.452	0	0.113	0.493
AEW84871.1	AEW86193.1	1041826.FCOL_00070	1041826.FCOL_06860	0	0	0	0	0	0.452	0	0.113	0.493
AEW84871.1	dapF	1041826.FCOL_00070	1041826.FCOL_04725	0	0	0.380	0	0	0	0	0.221	0.496
AEW84871.1	dnaK	1041826.FCOL_00070	1041826.FCOL_07170	0.078	0	0	0	0.056	0.374	0	0.247	0.534
AEW84871.1	rho	1041826.FCOL_00070	1041826.FCOL_10680	0.076	0	0.226	0	0.222	0	0	0.276	0.543
AEW84871.1	infB	1041826.FCOL_00070	1041826.FCOL_10300	0.128	0	0	0	0.302	0	0	0.344	0.565
AEW84871.1	eno	1041826.FCOL_00070	1041826.FCOL_10935	0	0	0	0	0	0.749	0	0.250	0.803
AEW84871.1	pnp	1041826.FCOL_00070	1041826.FCOL_03730	0.114	0	0	0	0.056	0.921	0	0.276	0.945
AEW84877.1	AEW84859.2	1041826.FCOL_00100	1041826.FCOL_00010	0	0	0	0	0.524	0.522	0	0.083	0.773
AEW84877.1	nuoD	1041826.FCOL_00100	1041826.FCOL_00090	0.806	0	0.235	0	0.895	0.923	0.356	0.276	0.999
AEW84877.1	AEW84890.1	1041826.FCOL_00100	1041826.FCOL_00165	0.125	0	0	0	0	0	0	0.362	0.417
AEW84877.1	AEW86169.1	1041826.FCOL_00100	1041826.FCOL_06740	0	0	0	0	0	0.418	0	0	0.418
AEW84877.1	AEW85181.1	1041826.FCOL_00100	1041826.FCOL_01660	0	0	0	0	0	0.418	0	0	0.418
AEW84877.1	AEW86409.1	1041826.FCOL_00100	1041826.FCOL_07960	0	0	0	0	0	0	0.390	0.088	0.419
AEW84877.1	AEW85566.1	1041826.FCOL_00100	1041826.FCOL_03630	0	0	0	0	0	0	0.390	0.088	0.419
AEW84877.1	AEW87306.1	1041826.FCOL_00100	1041826.FCOL_12535	0	0	0	0	0	0	0.390	0.088	0.419
AEW84877.1	AEW85976.1	1041826.FCOL_00100	1041826.FCOL_05755	0	0	0	0	0.269	0.241	0	0	0.421
AEW84877.1	dnaJ	1041826.FCOL_00100	1041826.FCOL_11980	0	0	0	0	0	0.442	0	0	0.442
AEW84877.1	AEW85556.1	1041826.FCOL_00100	1041826.FCOL_03580	0	0	0	0	0.330	0	0	0.229	0.461
AEW84877.1	rnhB	1041826.FCOL_00100	1041826.FCOL_10505	0	0	0	0	0	0.465	0	0	0.465
AEW84877.1	AEW87340.1	1041826.FCOL_00100	1041826.FCOL_12725	0.041	0	0	0	0.042	0.475	0	0	0.475
AEW84877.1	AEW87221.1	1041826.FCOL_00100	1041826.FCOL_12100	0	0	0	0	0.404	0.107	0	0.132	0.497
AEW84877.1	AEW86725.1	1041826.FCOL_00100	1041826.FCOL_09580	0	0	0	0	0.404	0.107	0	0.132	0.497
AEW84877.1	AEW86977.1	1041826.FCOL_00100	1041826.FCOL_10870	0	0	0	0	0.404	0.107	0	0.132	0.497
AEW84877.1	moaC	1041826.FCOL_00100	1041826.FCOL_02065	0.329	0	0	0	0	0	0	0.292	0.504
AEW84877.1	tpiA	1041826.FCOL_00100	1041826.FCOL_07535	0.125	0	0.200	0	0.239	0.107	0	0.132	0.511
AEW84877.1	AEW86126.1	1041826.FCOL_00100	1041826.FCOL_06525	0	0	0	0	0.483	0	0	0.137	0.534
AEW84877.1	atpD	1041826.FCOL_00100	1041826.FCOL_12865	0	0	0	0	0.432	0.090	0	0.225	0.564
AEW84877.1	clpP	1041826.FCOL_00100	1041826.FCOL_04465	0	0	0	0	0.533	0.107	0	0	0.565
AEW84877.1	AEW85750.1	1041826.FCOL_00100	1041826.FCOL_04595	0	0	0	0	0.114	0.488	0	0.126	0.568
AEW84877.1	AEW85979.1	1041826.FCOL_00100	1041826.FCOL_05770	0	0	0	0	0.544	0.108	0	0	0.575
AEW84877.1	AEW85199.1	1041826.FCOL_00100	1041826.FCOL_01750	0	0	0	0	0.544	0.108	0	0	0.575
AEW84877.1	AEW85527.1	1041826.FCOL_00100	1041826.FCOL_03425	0	0	0	0	0.597	0	0	0	0.597
AEW84877.1	AEW85671.1	1041826.FCOL_00100	1041826.FCOL_04185	0	0	0	0	0.597	0	0	0	0.597
AEW84877.1	sucC	1041826.FCOL_00100	1041826.FCOL_00945	0.042	0	0	0	0.561	0.108	0	0.074	0.606
AEW84877.1	AEW84894.2	1041826.FCOL_00100	1041826.FCOL_00185	0	0	0	0	0.077	0.523	0	0.252	0.641
AEW84877.1	sucD	1041826.FCOL_00100	1041826.FCOL_00280	0.042	0	0	0	0.573	0	0	0.276	0.677
AEW84877.1	sucA	1041826.FCOL_00100	1041826.FCOL_09585	0	0	0	0	0.578	0.099	0	0.249	0.689
AEW84877.1	AEW86453.1	1041826.FCOL_00100	1041826.FCOL_08190	0.101	0	0	0	0.111	0.513	0	0.329	0.703
AEW84877.1	tuf	1041826.FCOL_00100	1041826.FCOL_10440	0	0	0	0	0.696	0.105	0	0.092	0.731
AEW84877.1	AEW84893.1	1041826.FCOL_00100	1041826.FCOL_00180	0	0	0	0	0.696	0.105	0	0.092	0.731
AEW84877.1	AEW84895.1	1041826.FCOL_00100	1041826.FCOL_00190	0	0	0	0	0.174	0.639	0	0.250	0.756
AEW84877.1	AEW87230.1	1041826.FCOL_00100	1041826.FCOL_12145	0	0	0	0	0.524	0.522	0	0.083	0.773
AEW84877.1	AEW87503.1	1041826.FCOL_00100	1041826.FCOL_13540	0	0	0	0	0.524	0.522	0	0.083	0.773
AEW84877.1	atpA	1041826.FCOL_00100	1041826.FCOL_08140	0	0	0	0	0.701	0.108	0	0.253	0.783
AEW84877.1	atpG	1041826.FCOL_00100	1041826.FCOL_08135	0	0	0	0	0.734	0.115	0	0.230	0.802
AEW84877.1	AEW86639.1	1041826.FCOL_00100	1041826.FCOL_09150	0	0	0	0	0.779	0.161	0	0.259	0.850
AEW84877.1	AEW85647.1	1041826.FCOL_00100	1041826.FCOL_04065	0	0	0	0	0.476	0.622	0.292	0.137	0.862
AEW84877.1	AEW85718.1	1041826.FCOL_00100	1041826.FCOL_04435	0	0	0	0	0.476	0.622	0.292	0.137	0.862
AEW84877.1	AEW86329.1	1041826.FCOL_00100	1041826.FCOL_07550	0	0	0	0	0	0.877	0	0	0.877
AEW84877.1	sdhA	1041826.FCOL_00100	1041826.FCOL_09145	0.050	0	0	0	0.895	0.129	0	0.253	0.926
AEW84877.1	AEW87186.1	1041826.FCOL_00100	1041826.FCOL_11925	0.106	0	0	0	0.718	0.711	0	0.193	0.933
AEW84877.1	AEW85095.1	1041826.FCOL_00100	1041826.FCOL_01230	0	0	0	0	0.659	0.749	0.268	0.084	0.934
AEW84877.1	AEW86305.1	1041826.FCOL_00100	1041826.FCOL_07430	0	0	0	0	0.659	0.749	0.268	0.084	0.934
AEW84877.1	AEW85265.1	1041826.FCOL_00100	1041826.FCOL_02090	0.125	0	0	0	0.120	0.923	0	0.276	0.951
AEW84877.1	AEW84884.1	1041826.FCOL_00100	1041826.FCOL_00135	0.367	0	0	0	0.718	0.711	0	0.193	0.952
AEW84877.1	nuoN	1041826.FCOL_00100	1041826.FCOL_00145	0.326	0	0	0	0.766	0.923	0.324	0.276	0.992
AEW84877.1	AEW84885.1	1041826.FCOL_00100	1041826.FCOL_00140	0.402	0	0	0	0.887	0.923	0.356	0.276	0.997
AEW84877.1	nuoH	1041826.FCOL_00100	1041826.FCOL_00110	0.595	0	0	0	0.890	0.923	0.356	0.276	0.998
AEW84877.1	AEW84878.1	1041826.FCOL_00100	1041826.FCOL_00105	0.601	0	0.773	0	0.895	0.923	0.504	0.309	0.999
AEW84878.1	AEW84859.2	1041826.FCOL_00105	1041826.FCOL_00010	0	0	0	0	0.476	0.522	0	0.084	0.750
AEW84878.1	nuoD	1041826.FCOL_00105	1041826.FCOL_00090	0.590	0	0.437	0	0.895	0.923	0.701	0.276	0.999
AEW84878.1	AEW84877.1	1041826.FCOL_00105	1041826.FCOL_00100	0.601	0	0.773	0	0.895	0.923	0.504	0.309	0.999
AEW84878.1	AEW84890.1	1041826.FCOL_00105	1041826.FCOL_00165	0.125	0	0	0	0.056	0	0	0.348	0.414
AEW84878.1	AEW86871.1	1041826.FCOL_00105	1041826.FCOL_10320	0.050	0	0	0	0.267	0	0	0.231	0.417
AEW84878.1	AEW87340.1	1041826.FCOL_00105	1041826.FCOL_12725	0	0	0	0	0	0.428	0	0	0.428
AEW84878.1	AEW85181.1	1041826.FCOL_00105	1041826.FCOL_01660	0	0	0	0	0	0.418	0	0.083	0.443
AEW84878.1	AEW86169.1	1041826.FCOL_00105	1041826.FCOL_06740	0	0	0	0	0	0.418	0	0.083	0.443
AEW84878.1	AEW86126.1	1041826.FCOL_00105	1041826.FCOL_06525	0	0	0	0	0.192	0	0	0.343	0.446
AEW84878.1	AEW87108.1	1041826.FCOL_00105	1041826.FCOL_11535	0.055	0	0	0	0.077	0.312	0	0.193	0.450
AEW84878.1	AEW87306.1	1041826.FCOL_00105	1041826.FCOL_12535	0	0	0	0	0	0.115	0.390	0.084	0.462
AEW84878.1	AEW85566.1	1041826.FCOL_00105	1041826.FCOL_03630	0	0	0	0	0	0.115	0.390	0.084	0.462
AEW84878.1	AEW86409.1	1041826.FCOL_00105	1041826.FCOL_07960	0	0	0	0	0	0.115	0.390	0.084	0.462
AEW84878.1	dnaJ	1041826.FCOL_00105	1041826.FCOL_11980	0	0	0	0	0	0.467	0	0	0.467
AEW84878.1	AEW85556.1	1041826.FCOL_00105	1041826.FCOL_03580	0	0	0	0	0.268	0.113	0	0.254	0.473
AEW84878.1	rnhB	1041826.FCOL_00105	1041826.FCOL_10505	0	0	0	0	0.094	0.465	0	0	0.494
AEW84878.1	AEW86428.1	1041826.FCOL_00105	1041826.FCOL_08065	0	0	0	0	0	0.474	0	0.117	0.515
AEW84878.1	AEW86229.1	1041826.FCOL_00105	1041826.FCOL_07050	0	0	0	0	0	0.474	0	0.117	0.515
AEW84878.1	AEW86453.1	1041826.FCOL_00105	1041826.FCOL_08190	0	0	0	0	0.056	0.513	0	0	0.520
AEW84878.1	AEW85031.1	1041826.FCOL_00105	1041826.FCOL_00910	0.081	0	0	0	0.493	0.108	0	0.050	0.552
AEW84878.1	AEW85076.1	1041826.FCOL_00105	1041826.FCOL_01135	0.081	0	0	0	0.493	0.108	0	0.050	0.552
AEW84878.1	AEW86977.1	1041826.FCOL_00105	1041826.FCOL_10870	0	0	0	0	0.505	0.108	0	0.087	0.561
AEW84878.1	AEW86725.1	1041826.FCOL_00105	1041826.FCOL_09580	0	0	0	0	0.505	0.108	0	0.087	0.561
AEW84878.1	AEW87221.1	1041826.FCOL_00105	1041826.FCOL_12100	0	0	0	0	0.505	0.108	0	0.087	0.561
AEW84878.1	AEW86503.1	1041826.FCOL_00105	1041826.FCOL_08440	0	0	0	0	0.076	0.474	0	0.194	0.574
AEW84878.1	AEW85750.1	1041826.FCOL_00105	1041826.FCOL_04595	0	0	0	0	0.158	0.488	0	0.131	0.592
AEW84878.1	atpD	1041826.FCOL_00105	1041826.FCOL_12865	0.042	0	0	0	0.476	0.108	0	0.241	0.614
AEW84878.1	sucD	1041826.FCOL_00105	1041826.FCOL_00280	0.043	0	0	0	0.478	0.110	0	0.252	0.622
AEW84878.1	AEW84894.2	1041826.FCOL_00105	1041826.FCOL_00185	0	0	0	0	0.072	0.524	0	0.250	0.639
AEW84878.1	sucC	1041826.FCOL_00105	1041826.FCOL_00945	0.043	0	0	0	0.599	0.108	0	0.223	0.698
AEW84878.1	sucA	1041826.FCOL_00105	1041826.FCOL_09585	0	0	0.175	0	0.632	0.099	0	0.073	0.712
AEW84878.1	AEW84895.1	1041826.FCOL_00105	1041826.FCOL_00190	0	0	0	0	0.120	0.639	0	0.250	0.740
AEW84878.1	AEW87503.1	1041826.FCOL_00105	1041826.FCOL_13540	0	0	0	0	0.476	0.522	0	0.084	0.750
AEW84878.1	AEW85718.1	1041826.FCOL_00105	1041826.FCOL_04435	0	0	0	0	0.154	0.594	0.292	0.132	0.760
AEW84878.1	AEW85647.1	1041826.FCOL_00105	1041826.FCOL_04065	0	0	0	0	0.154	0.594	0.292	0.132	0.760
AEW84878.1	AEW87230.1	1041826.FCOL_00105	1041826.FCOL_12145	0	0	0.223	0	0.476	0.522	0	0.084	0.797
AEW84878.1	atpA	1041826.FCOL_00105	1041826.FCOL_08140	0.051	0	0	0	0.710	0.108	0	0.276	0.798
AEW84878.1	atpG	1041826.FCOL_00105	1041826.FCOL_08135	0.047	0	0	0	0.724	0.125	0	0.240	0.801
AEW84878.1	sdhA	1041826.FCOL_00105	1041826.FCOL_09145	0.058	0	0	0	0.708	0.149	0	0.276	0.807
AEW84878.1	AEW86639.1	1041826.FCOL_00105	1041826.FCOL_09150	0	0	0	0	0.782	0.267	0	0.276	0.874
AEW84878.1	AEW86329.1	1041826.FCOL_00105	1041826.FCOL_07550	0	0	0	0	0.041	0.877	0	0.155	0.891
AEW84878.1	AEW85265.1	1041826.FCOL_00105	1041826.FCOL_02090	0.110	0.899	0	0	0	0	0	0.125	0.915
AEW84878.1	AEW86305.1	1041826.FCOL_00105	1041826.FCOL_07430	0	0	0	0	0.488	0.749	0.474	0.132	0.933
AEW84878.1	AEW85095.1	1041826.FCOL_00105	1041826.FCOL_01230	0	0	0	0	0.488	0.749	0.474	0.132	0.933
AEW84878.1	AEW87186.1	1041826.FCOL_00105	1041826.FCOL_11925	0.126	0	0	0	0.718	0.711	0	0.193	0.934
AEW84878.1	AEW84884.1	1041826.FCOL_00105	1041826.FCOL_00135	0.489	0	0	0	0.718	0.711	0	0.193	0.961
AEW84878.1	nuoN	1041826.FCOL_00105	1041826.FCOL_00145	0.400	0	0	0	0.874	0.923	0.324	0.276	0.996
AEW84878.1	AEW84885.1	1041826.FCOL_00105	1041826.FCOL_00140	0.510	0	0.150	0	0.894	0.923	0.356	0.276	0.998
AEW84878.1	nuoH	1041826.FCOL_00105	1041826.FCOL_00110	0.822	0	0	0	0.889	0.923	0.356	0.276	0.999
AEW84884.1	nuoD	1041826.FCOL_00135	1041826.FCOL_00090	0.370	0	0.746	0	0.717	0.749	0	0.193	0.989
AEW84884.1	AEW84877.1	1041826.FCOL_00135	1041826.FCOL_00100	0.367	0	0	0	0.718	0.711	0	0.193	0.952
AEW84884.1	AEW84878.1	1041826.FCOL_00135	1041826.FCOL_00105	0.489	0	0	0	0.718	0.711	0	0.193	0.961
AEW84884.1	nuoH	1041826.FCOL_00135	1041826.FCOL_00110	0.513	0	0.774	0	0.721	0.742	0	0.193	0.992
AEW84884.1	AEW85291.1	1041826.FCOL_00135	1041826.FCOL_02220	0.042	0	0	0	0.409	0	0	0	0.409
AEW84884.1	lgt	1041826.FCOL_00135	1041826.FCOL_00835	0.042	0	0	0	0.409	0	0	0	0.409
AEW84884.1	AEW85595.1	1041826.FCOL_00135	1041826.FCOL_03775	0.060	0	0	0	0.419	0	0	0	0.430
AEW84884.1	AEW86126.1	1041826.FCOL_00135	1041826.FCOL_06525	0	0	0	0	0.478	0	0	0	0.478
AEW84884.1	AEW87187.1	1041826.FCOL_00135	1041826.FCOL_11930	0.147	0.001	0	0	0.447	0	0	0.138	0.557
AEW84884.1	AEW87186.1	1041826.FCOL_00135	1041826.FCOL_11925	0	0	0.296	0.624	0	0	0.900	0	0.926
AEW84884.1	nuoN	1041826.FCOL_00135	1041826.FCOL_00145	0.627	0	0.324	0.613	0.721	0.749	0	0.193	0.983
AEW84884.1	AEW84885.1	1041826.FCOL_00135	1041826.FCOL_00140	0.780	0	0.326	0.610	0.721	0.749	0	0.193	0.990
AEW84885.1	AEW84859.2	1041826.FCOL_00140	1041826.FCOL_00010	0	0	0	0	0	0.517	0	0	0.517
AEW84885.1	nuoD	1041826.FCOL_00140	1041826.FCOL_00090	0.407	0	0.741	0	0.895	0.923	0.688	0.276	0.999
AEW84885.1	AEW84877.1	1041826.FCOL_00140	1041826.FCOL_00100	0.402	0	0	0	0.887	0.923	0.356	0.276	0.997
AEW84885.1	AEW84878.1	1041826.FCOL_00140	1041826.FCOL_00105	0.510	0	0.150	0	0.894	0.923	0.356	0.276	0.998
AEW84885.1	nuoH	1041826.FCOL_00140	1041826.FCOL_00110	0.538	0	0.773	0	0.895	0.923	0.706	0.276	0.999
AEW84885.1	AEW84884.1	1041826.FCOL_00140	1041826.FCOL_00135	0.780	0	0.326	0.610	0.721	0.749	0	0.193	0.990
AEW84885.1	AEW85241.1	1041826.FCOL_00140	1041826.FCOL_01960	0.125	0	0	0	0.206	0	0	0.212	0.404
